00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,02,03,04,02,02,03,04,02,02,03,04,02,03,04,02,03,04,02,03,04,02,03,04,02,03,04,02,03,04,02,03,04,02,03,04,05
00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,76,76,76,07,76,76,76,06,76,76,76,76,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06
00,00,00,00,00,00,01,03,04,02,03,04,05,00,08,76,02,02,16,76,76,76,12,13,14,15,05,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,09,76,76,76,76,76,76,76,08
00,00,00,00,00,00,06,76,76,76,76,76,07,00,10,76,76,76,76,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,11,76,76,76,76,76,76,76,10
00,00,00,00,00,00,08,76,76,76,08,76,09,00,06,76,76,76,09,76,76,76,01,02,03,76,09,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06
00,00,00,00,00,00,10,76,76,76,10,76,11,00,08,76,76,76,11,76,76,76,08,76,76,76,11,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,08
00,00,01,13,14,15,12,13,14,13,16,76,12,02,12,13,14,15,16,76,76,76,10,76,01,15,16,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,10
00,00,06,76,76,76,76,76,76,76,76,76,76,76,76,76,07,00,11,76,76,76,76,76,07,76,76,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06
00,00,08,76,76,76,76,76,76,76,01,02,03,04,05,76,01,02,12,03,04,02,05,76,09,76,01,13,14,15,13,14,15,13,14,14,15,13,14,15,13,76,13,14,15,76,13,13,14,15,06
00,00,10,76,76,76,76,76,76,76,07,76,76,76,06,76,09,76,76,76,76,76,06,76,76,76,07,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,09,76,76,76,76,76,76,76,08
01,02,12,03,04,04,02,03,04,02,09,76,76,76,06,76,11,76,76,76,76,76,08,76,76,76,09,02,03,04,05,76,07,76,10,76,76,76,76,76,76,76,11,76,76,76,76,76,76,76,10
07,76,76,76,08,76,76,76,76,76,11,76,76,76,76,76,07,76,76,76,76,76,10,76,76,76,11,76,76,76,08,76,09,76,06,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06
09,76,07,76,08,76,76,76,76,76,07,76,76,76,01,02,02,03,04,02,03,76,06,76,76,76,07,76,76,76,10,76,11,76,06,76,76,76,76,76,76,76,07,02,03,04,02,03,04,76,06
11,76,07,76,76,76,76,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,08,76,76,76,09,76,76,76,76,76,07,76,76,76,76,76,76,76,76,76,09,00,06,76,76,76,76,76,08
07,76,12,13,14,15,01,13,14,15,13,14,15,13,16,76,01,13,05,76,07,76,12,13,14,15,09,76,76,76,08,76,12,02,03,76,76,76,76,76,76,76,12,13,14,76,07,76,76,76,10
09,76,09,00,00,00,06,76,76,76,76,76,07,76,76,76,06,00,07,76,09,76,76,76,76,76,11,76,76,76,10,76,76,76,08,76,76,76,76,76,76,76,76,76,76,76,09,76,76,76,06
11,76,12,02,05,00,08,76,01,02,05,76,07,76,01,02,03,04,07,76,12,13,14,15,13,76,06,13,14,15,13,14,15,13,14,76,13,14,15,13,14,15,13,76,13,13,16,76,13,13,06
07,76,76,76,07,00,10,76,07,76,06,76,76,76,11,76,76,76,09,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,08
09,76,06,76,09,00,06,76,09,76,12,13,14,15,16,76,76,76,09,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,10
11,76,08,76,11,00,08,76,11,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,09,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,06
07,02,03,76,07,04,02,76,07,76,76,76,01,02,03,04,02,03,04,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,11,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,08
07,76,76,76,09,76,76,76,09,76,76,76,07,76,76,76,76,76,76,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,07,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,10
09,76,76,76,06,76,13,14,14,15,15,76,09,76,13,13,14,15,13,76,76,76,76,76,76,76,06,76,76,76,76,76,76,76,09,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,06
11,76,76,76,08,76,76,76,11,76,76,76,11,76,76,76,76,76,06,76,76,76,76,76,76,76,08,76,76,76,76,76,76,76,11,76,76,76,76,76,76,76,10,76,76,76,76,76,76,76,08
07,02,03,76,12,02,02,76,07,76,06,76,12,02,03,04,02,03,04,02,03,04,02,03,04,02,10,76,01,02,05,76,02,03,16,76,01,02,05,76,02,03,16,76,13,13,14,15,13,76,10
07,76,76,76,76,76,76,76,09,76,08,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,06,76,07,00,06,76,76,76,76,76,11,00,06,76,76,76,76,76,76,76,07,76,76,76,06
09,76,76,76,76,76,01,02,16,76,10,76,01,13,14,15,13,14,15,76,13,13,05,76,76,76,08,76,09,00,12,13,14,15,13,14,16,00,08,76,76,76,76,76,76,76,09,76,76,76,08
11,76,76,76,76,76,06,76,76,76,06,76,07,00,00,00,06,76,76,76,76,76,07,76,76,76,10,76,11,00,00,00,00,00,00,00,00,00,10,76,76,76,76,76,76,76,11,76,76,76,10
07,76,76,76,76,76,06,76,76,76,08,76,09,00,00,00,08,76,76,76,76,76,07,76,76,76,06,76,07,00,00,00,00,00,00,00,00,00,06,76,76,76,76,76,76,76,07,76,76,76,06
09,76,76,76,76,76,76,76,76,76,10,76,12,13,05,00,10,76,76,76,76,76,76,76,76,76,08,76,09,00,00,00,00,00,00,00,00,00,08,76,76,76,76,76,76,76,09,76,76,76,08
09,13,05,76,01,14,05,76,14,15,06,76,76,76,07,00,06,76,76,76,76,76,07,76,76,76,10,76,12,13,14,15,13,14,15,13,14,15,16,76,76,76,76,76,76,76,11,76,06,76,10
11,76,06,76,07,76,05,76,76,76,06,76,76,76,09,00,08,76,76,76,76,76,07,76,76,76,06,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,07,76,06,76,06
07,76,06,76,09,76,12,13,14,76,08,76,76,76,11,00,12,02,03,04,05,76,12,02,03,04,02,02,03,04,02,03,04,02,05,76,76,76,06,76,01,02,03,04,02,03,07,76,12,13,06
09,76,76,76,11,76,76,76,76,76,10,76,76,76,07,00,00,00,00,00,06,76,76,76,76,76,76,76,76,76,76,76,76,76,07,76,76,76,06,76,07,76,76,76,76,76,09,76,76,76,08
11,76,01,02,16,03,04,02,03,04,02,03,04,02,03,04,02,03,04,02,08,76,11,02,03,04,02,02,03,04,05,76,13,14,09,76,76,76,08,76,09,76,76,76,76,76,09,76,76,76,10
07,76,06,76,76,76,76,76,76,76,76,76,76,76,09,76,76,76,76,76,10,76,07,76,76,76,09,76,76,76,06,76,76,76,11,76,76,76,10,76,11,76,76,76,76,76,76,76,76,76,06
09,76,08,76,07,76,76,76,76,76,01,13,13,76,09,76,76,76,76,76,06,76,09,76,13,76,15,76,76,76,08,13,13,76,07,76,02,03,04,04,02,76,76,76,76,76,11,76,76,76,08
